Exec,Seed,Station,Best Params,Best Score,Best Estimator,y_pred
1,7779,Bobo Dioulasso,"{'poly_features__degree': 3, 'poly_features__include_bias': False, 'poly_features__interaction_only': False, 'ridge_reg__alpha': 0, 'ridge_reg__fit_intercept': False, 'ridge_reg__normalize': True}",-0.3746164282969752,"Pipeline(memory=None,
         steps=[('poly_features',
                 PolynomialFeatures(degree=3, include_bias=False,
                                    interaction_only=False, order='C')),
                ('ridge_reg',
                 Ridge(alpha=0, copy_X=True, fit_intercept=False, max_iter=None,
                       normalize=True, random_state=None, solver='auto',
                       tol=0.001))],
         verbose=False)","[20.69768209 19.37763426 21.11407966 ... 21.41718418 21.57715644
 21.32847943]"
1,7779,Boromo,"{'poly_features__degree': 3, 'poly_features__include_bias': False, 'poly_features__interaction_only': False, 'ridge_reg__alpha': 1, 'ridge_reg__fit_intercept': False, 'ridge_reg__normalize': True}",-0.47415568501180994,"Pipeline(memory=None,
         steps=[('poly_features',
                 PolynomialFeatures(degree=3, include_bias=False,
                                    interaction_only=False, order='C')),
                ('ridge_reg',
                 Ridge(alpha=1, copy_X=True, fit_intercept=False, max_iter=None,
                       normalize=True, random_state=None, solver='auto',
                       tol=0.001))],
         verbose=False)","[21.02174993 19.178055   20.77727047 ... 21.03889985 20.69244054
 20.95188152]"
1,7779,Bur Dedougou,"{'poly_features__degree': 3, 'poly_features__include_bias': False, 'poly_features__interaction_only': False, 'ridge_reg__alpha': 0, 'ridge_reg__fit_intercept': False, 'ridge_reg__normalize': True}",-0.3611633836438693,"Pipeline(memory=None,
         steps=[('poly_features',
                 PolynomialFeatures(degree=3, include_bias=False,
                                    interaction_only=False, order='C')),
                ('ridge_reg',
                 Ridge(alpha=0, copy_X=True, fit_intercept=False, max_iter=None,
                       normalize=True, random_state=None, solver='auto',
                       tol=0.001))],
         verbose=False)","[20.38982416 19.21164149 19.72034605 ... 20.16869445 19.78523958
 19.74158062]"
1,7779,Dori,"{'poly_features__degree': 2, 'poly_features__include_bias': False, 'poly_features__interaction_only': False, 'ridge_reg__alpha': 2, 'ridge_reg__fit_intercept': True, 'ridge_reg__normalize': False}",-9.013084738625544,"Pipeline(memory=None,
         steps=[('poly_features',
                 PolynomialFeatures(degree=2, include_bias=False,
                                    interaction_only=False, order='C')),
                ('ridge_reg',
                 Ridge(alpha=2, copy_X=True, fit_intercept=True, max_iter=None,
                       normalize=False, random_state=None, solver='auto',
                       tol=0.001))],
         verbose=False)","[21.21433346 20.50202106 20.9508392  ... 20.80878035 19.90387963
 22.59659034]"
1,7779,Fada N'gourma,"{'poly_features__degree': 3, 'poly_features__include_bias': False, 'poly_features__interaction_only': False, 'ridge_reg__alpha': 0, 'ridge_reg__fit_intercept': False, 'ridge_reg__normalize': True}",-0.3292833337421931,"Pipeline(memory=None,
         steps=[('poly_features',
                 PolynomialFeatures(degree=3, include_bias=False,
                                    interaction_only=False, order='C')),
                ('ridge_reg',
                 Ridge(alpha=0, copy_X=True, fit_intercept=False, max_iter=None,
                       normalize=True, random_state=None, solver='auto',
                       tol=0.001))],
         verbose=False)","[20.39293155 19.84765212 19.42913355 ... 20.3965711  20.24608258
 19.2546881 ]"
1,7779,Gaoua,"{'poly_features__degree': 3, 'poly_features__include_bias': False, 'poly_features__interaction_only': False, 'ridge_reg__alpha': 2, 'ridge_reg__fit_intercept': False, 'ridge_reg__normalize': True}",-0.33444139355742536,"Pipeline(memory=None,
         steps=[('poly_features',
                 PolynomialFeatures(degree=3, include_bias=False,
                                    interaction_only=False, order='C')),
                ('ridge_reg',
                 Ridge(alpha=2, copy_X=True, fit_intercept=False, max_iter=None,
                       normalize=True, random_state=None, solver='auto',
                       tol=0.001))],
         verbose=False)","[21.60442297 17.92608957 21.25775842 ... 21.47788512 20.884347
 20.88935656]"
1,7779,Ouahigouya,"{'poly_features__degree': 3, 'poly_features__include_bias': True, 'poly_features__interaction_only': False, 'ridge_reg__alpha': 0, 'ridge_reg__fit_intercept': False, 'ridge_reg__normalize': True}",-0.5628994920133545,"Pipeline(memory=None,
         steps=[('poly_features',
                 PolynomialFeatures(degree=3, include_bias=True,
                                    interaction_only=False, order='C')),
                ('ridge_reg',
                 Ridge(alpha=0, copy_X=True, fit_intercept=False, max_iter=None,
                       normalize=True, random_state=None, solver='auto',
                       tol=0.001))],
         verbose=False)","[19.76077615 19.98568809 20.20518003 ... 19.14107625 19.1108141
 17.85456243]"
1,7779,Po,"{'poly_features__degree': 3, 'poly_features__include_bias': True, 'poly_features__interaction_only': True, 'ridge_reg__alpha': 0, 'ridge_reg__fit_intercept': True, 'ridge_reg__normalize': False}",-0.5838107624420924,"Pipeline(memory=None,
         steps=[('poly_features',
                 PolynomialFeatures(degree=3, include_bias=True,
                                    interaction_only=True, order='C')),
                ('ridge_reg',
                 Ridge(alpha=0, copy_X=True, fit_intercept=True, max_iter=None,
                       normalize=False, random_state=None, solver='auto',
                       tol=0.001))],
         verbose=False)","[21.21490741 18.82610071 20.49589419 ... 21.01583254 20.93819487
 18.49755037]"
2,7858,Bobo Dioulasso,"{'poly_features__degree': 3, 'poly_features__include_bias': False, 'poly_features__interaction_only': False, 'ridge_reg__alpha': 0, 'ridge_reg__fit_intercept': False, 'ridge_reg__normalize': True}",-0.3840803667464335,"Pipeline(memory=None,
         steps=[('poly_features',
                 PolynomialFeatures(degree=3, include_bias=False,
                                    interaction_only=False, order='C')),
                ('ridge_reg',
                 Ridge(alpha=0, copy_X=True, fit_intercept=False, max_iter=None,
                       normalize=True, random_state=None, solver='auto',
                       tol=0.001))],
         verbose=False)","[20.69768209 19.37763426 21.11407966 ... 21.41718418 21.57715644
 21.32847943]"
2,7858,Boromo,"{'poly_features__degree': 3, 'poly_features__include_bias': False, 'poly_features__interaction_only': False, 'ridge_reg__alpha': 1, 'ridge_reg__fit_intercept': False, 'ridge_reg__normalize': True}",-0.47370849940103216,"Pipeline(memory=None,
         steps=[('poly_features',
                 PolynomialFeatures(degree=3, include_bias=False,
                                    interaction_only=False, order='C')),
                ('ridge_reg',
                 Ridge(alpha=1, copy_X=True, fit_intercept=False, max_iter=None,
                       normalize=True, random_state=None, solver='auto',
                       tol=0.001))],
         verbose=False)","[21.02174993 19.178055   20.77727047 ... 21.03889985 20.69244054
 20.95188152]"
